# WASP-39b JWST G395H transmission spectrum (Eureka!, Fit_LimbDarkening, ~R100)
# Carter et al. 2024, Nature Astronomy; Zenodo 10.5281/zenodo.10161743
# depth=(rp/rs)^2; err=2*(rp/rs)*sigma_rprs (asym errors averaged)
# columns: wavelength_um  transit_depth_ppm  err_ppm  wavelength_low_um  wavelength_high_um
2.738825 22104.616 389.154 2.724906 2.752743
2.766689 22079.693 156.775 2.752743 2.780635
2.794889 22133.766 108.816 2.780635 2.809142
2.823393 22038.628 92.176 2.809142 2.837644
2.852261 22030.601 78.291 2.837644 2.866879
2.881463 21930.117 105.344 2.866879 2.896048
2.910999 21828.281 79.871 2.896048 2.925949
2.940867 21701.477 81.658 2.925949 2.955785
2.971068 21654.091 71.149 2.955785 2.986351
3.001600 21565.915 88.996 2.986351 3.016850
3.032096 21493.029 72.205 3.016850 3.047342
3.062952 21383.234 119.422 3.047342 3.078563
3.094139 21405.423 71.572 3.078563 3.109716
3.125656 21310.284 66.241 3.109716 3.141597
3.157503 21352.332 97.562 3.141597 3.173409
3.189648 21260.454 85.647 3.173409 3.205887
3.222137 21307.711 81.734 3.205887 3.238386
3.254968 21341.678 65.312 3.238386 3.271551
3.288112 21275.877 75.164 3.271551 3.304674
3.321567 21196.024 101.261 3.304674 3.338461
3.355379 21236.329 66.452 3.338461 3.372297
3.389516 21196.416 65.098 3.372297 3.406735
3.423947 21232.678 72.194 3.406735 3.441159
3.458702 21194.219 69.006 3.441159 3.476245
3.494118 21196.058 65.736 3.476245 3.511991
3.529856 21221.774 65.607 3.511991 3.547722
3.565947 21144.859 71.445 3.547722 3.584172
3.602359 21230.451 71.707 3.584172 3.620545
3.639060 21002.884 71.365 3.620545 3.657575
3.686507 21098.473 59.636 3.657575 3.715440
3.848645 20930.904 106.533 3.829174 3.868115
3.887911 21118.144 74.588 3.868115 3.907706
3.927459 20940.037 79.187 3.907706 3.947212
3.967320 21185.223 76.441 3.947212 3.987428
4.007859 21360.683 72.723 3.987428 4.028290
4.048708 21262.449 84.195 4.028290 4.069126
4.089866 21436.872 80.021 4.069126 4.110606
4.131636 21198.891 83.988 4.110606 4.152665
4.173712 21156.159 86.941 4.152665 4.194759
4.216125 21669.100 87.271 4.194759 4.237491
4.259144 22246.822 83.464 4.237491 4.280797
4.302466 22557.752 90.154 4.280797 4.324134
4.346120 22755.816 96.876 4.324134 4.368106
4.390376 22470.680 94.793 4.368106 4.412645
4.435261 22347.238 95.485 4.412645 4.457878
4.480443 22144.603 95.815 4.457878 4.503009
4.525887 21737.651 104.512 4.503009 4.548765
4.571987 21830.961 105.551 4.548765 4.595208
4.618708 21396.369 110.427 4.595208 4.642207
4.665685 21474.160 115.517 4.642207 4.689162
4.712947 21525.696 112.989 4.689162 4.736732
4.760822 21414.077 120.086 4.736732 4.784913
4.809325 21578.079 112.407 4.784913 4.833737
4.858419 21436.133 130.800 4.833737 4.883100
4.907770 21640.298 119.014 4.883100 4.932440
4.957409 21472.951 110.789 4.932440 4.982379
5.007645 21225.031 129.910 4.982379 5.032912
5.058475 21354.703 129.881 5.032912 5.084037
5.127861 21246.518 117.405 5.084037 5.171686
