# WASP-39b JWST NIRCam transmission spectrum (Eureka!, Fit_LimbDarkening, ~R100)
# Carter et al. 2024, Nature Astronomy; Zenodo 10.5281/zenodo.10161743
# depth=(rp/rs)^2; err=2*(rp/rs)*sigma_rprs (asym errors averaged)
# columns: wavelength_um  transit_depth_ppm  err_ppm  wavelength_low_um  wavelength_high_um
2.432783 21187.407 143.491 2.420360 2.445207
2.457641 21461.183 123.802 2.445207 2.470074
2.482996 21479.933 123.058 2.470074 2.495918
2.508851 21499.867 121.959 2.495918 2.521784
2.534727 21422.777 113.878 2.521784 2.547670
2.560623 21636.958 117.324 2.547670 2.573576
2.587019 21439.270 109.305 2.573576 2.600462
2.613916 21439.188 109.796 2.600462 2.627370
2.640835 21653.717 101.700 2.627370 2.654299
2.667773 21869.431 105.007 2.654299 2.681247
2.695213 21806.089 89.950 2.681247 2.709179
2.723156 21861.610 118.078 2.709179 2.737133
2.751119 21798.741 97.133 2.737133 2.765106
2.779103 21765.822 107.854 2.765106 2.793100
2.807589 21914.667 94.606 2.793100 2.822079
2.836579 21726.212 129.547 2.822079 2.851079
2.865590 21617.540 114.009 2.851079 2.880100
2.895104 21804.526 121.307 2.880100 2.910108
2.925122 21650.265 88.060 2.910108 2.940137
2.955161 21803.066 98.735 2.940137 2.970185
2.985219 21542.689 96.409 2.970185 3.000253
3.015782 21478.928 105.238 3.000253 3.031311
3.046850 21358.816 89.220 3.031311 3.062389
3.077937 21440.313 92.732 3.062389 3.093485
3.109529 21469.485 99.886 3.093485 3.125573
3.141626 21447.211 114.852 3.125573 3.157680
3.173742 21137.507 88.455 3.157680 3.189805
3.206363 21289.181 90.142 3.189805 3.222922
3.239489 21241.179 86.232 3.222922 3.256057
3.272633 21031.578 93.591 3.256057 3.289210
3.306283 21027.595 86.855 3.289210 3.323355
3.340436 21244.692 82.515 3.323355 3.357518
3.374607 21286.348 96.842 3.357518 3.391697
3.409283 21021.545 93.899 3.391697 3.426869
3.444462 21329.151 88.187 3.426869 3.462056
3.479657 20953.665 83.442 3.462056 3.497259
3.515356 21026.143 83.894 3.497259 3.533454
3.551558 21127.015 89.988 3.533454 3.569663
3.587774 21075.311 85.456 3.569663 3.605885
3.624492 21009.466 84.303 3.605885 3.643099
3.661712 20979.656 79.220 3.643099 3.680325
3.698944 21100.574 102.707 3.680325 3.717562
3.736676 20879.677 85.032 3.717562 3.755790
3.774908 21060.745 97.479 3.755790 3.794027
3.813640 20752.398 89.305 3.794027 3.833253
3.852871 21041.566 89.828 3.833253 3.872488
3.892109 20803.817 104.602 3.872488 3.911729
3.931844 20970.170 96.113 3.911729 3.951958
3.988267 21028.980 110.661 3.951958 4.024577
