# WASP-39b JWST NIRISS transmission spectrum (Eureka!, Fit_LimbDarkening, ~R100)
# Carter et al. 2024, Nature Astronomy; Zenodo 10.5281/zenodo.10161743
# depth=(rp/rs)^2; err=2*(rp/rs)*sigma_rprs (asym errors averaged)
# columns: wavelength_um  transit_depth_ppm  err_ppm  wavelength_low_um  wavelength_high_um
0.632979 20841.162 140.683 0.629622 0.636336
0.639709 21098.317 131.905 0.636336 0.643083
0.646472 21087.149 118.772 0.643083 0.649862
0.653267 21057.353 117.861 0.649862 0.656673
0.660094 21048.524 106.749 0.656673 0.663515
0.666951 21248.901 104.441 0.663515 0.670388
0.673839 21060.420 95.636 0.670388 0.677290
0.680756 21012.702 93.759 0.677290 0.684222
0.687703 20960.598 93.106 0.684222 0.691183
0.694678 21076.991 95.659 0.691183 0.698173
0.701901 21060.164 81.412 0.698173 0.705629
0.712689 21022.377 64.252 0.705629 0.719748
0.734197 21099.338 79.761 0.730406 0.737989
0.741795 20971.867 92.318 0.737989 0.745601
0.749420 21044.685 92.257 0.745601 0.753239
0.757072 21014.354 92.646 0.753239 0.760904
0.764749 21293.017 93.936 0.760904 0.768595
0.772680 21139.735 96.683 0.768595 0.776765
0.780864 20969.408 96.050 0.776765 0.784963
0.789075 20916.135 102.958 0.784963 0.793187
0.797312 21077.518 106.763 0.793187 0.801437
0.805575 21092.975 97.254 0.801437 0.809713
0.813862 21004.726 113.139 0.809713 0.818012
0.822173 20837.154 110.954 0.818012 0.826334
0.830507 21047.866 123.949 0.826334 0.834679
0.839095 20973.854 127.882 0.834679 0.843512
0.848406 20964.630 125.746 0.843512 0.853301
0.877113 21005.328 84.312 0.872661 0.881566
0.886029 21153.868 86.060 0.881566 0.890493
0.895416 21151.288 84.498 0.890493 0.900340
0.905276 21167.407 79.412 0.900340 0.910212
0.915162 21103.507 74.225 0.910212 0.920111
0.925074 21318.867 75.683 0.920111 0.930036
0.935011 21316.901 72.009 0.930036 0.939986
0.944973 21325.191 75.686 0.939986 0.949960
0.954960 21234.332 72.608 0.949960 0.959959
0.964970 21267.183 76.061 0.959959 0.969981
0.975004 21072.409 74.078 0.969981 0.980027
0.985061 20897.132 67.476 0.980027 0.990096
0.995141 21103.507 63.994 0.990096 1.000186
1.005243 21086.709 65.572 1.000186 1.010299
1.015827 21009.994 66.629 1.010299 1.021356
1.026897 21026.026 63.205 1.021356 1.032437
1.037990 21004.076 62.234 1.032437 1.043543
1.049108 20997.835 61.362 1.043543 1.054673
1.060250 21112.372 60.051 1.054673 1.065826
1.071414 21035.905 56.498 1.065826 1.077002
1.082601 21333.479 60.865 1.077002 1.088200
1.093810 21144.946 65.558 1.088200 1.099419
1.105040 21311.991 61.707 1.099419 1.110660
1.116291 21430.575 57.683 1.110660 1.121922
1.128033 21367.826 54.214 1.121922 1.134144
1.140267 21423.742 54.830 1.134144 1.146390
1.152524 21247.820 56.012 1.146390 1.158658
1.164802 21349.889 60.138 1.158658 1.170947
1.177102 21289.888 56.102 1.170947 1.183258
1.189423 21169.017 57.560 1.183258 1.195589
1.201764 21248.989 54.342 1.195589 1.207940
1.214125 21180.052 50.072 1.207940 1.220310
1.226504 21209.713 54.313 1.220310 1.232698
1.243202 21094.339 46.795 1.232698 1.253705
1.262316 21005.100 55.688 1.255617 1.269014
1.275722 20978.574 58.886 1.269014 1.282429
1.289146 20997.686 52.299 1.282429 1.295863
1.302589 20991.679 57.537 1.295863 1.309315
1.316050 21216.084 60.257 1.309315 1.322784
1.329527 21375.807 61.188 1.322784 1.336270
1.343020 21454.024 62.143 1.336270 1.349771
1.357012 21734.878 57.825 1.349771 1.364254
1.371503 21607.414 62.272 1.364254 1.378753
1.386011 21582.254 55.813 1.378753 1.393269
1.400534 21628.740 64.216 1.393269 1.407799
1.415072 21606.956 63.271 1.407799 1.422345
1.429625 21727.056 58.897 1.422345 1.436905
1.444191 21679.633 64.727 1.436905 1.451478
1.459257 21459.648 59.395 1.451478 1.467036
1.474822 21546.609 61.447 1.467036 1.482608
1.490401 21360.562 57.095 1.482608 1.498193
1.505992 21383.924 66.221 1.498193 1.513791
1.521595 21234.866 62.232 1.513791 1.529400
1.537210 21173.692 66.633 1.529400 1.545019
1.552835 21186.739 72.188 1.545019 1.560650
1.568958 21240.327 62.203 1.560650 1.577267
1.585581 21012.504 60.812 1.577267 1.593894
1.602213 21047.136 64.943 1.593894 1.610531
1.618854 21064.051 68.479 1.610531 1.627177
1.635504 21038.634 68.160 1.627177 1.643831
1.652161 20940.317 69.311 1.643831 1.660492
1.669316 20930.476 68.773 1.660492 1.678140
1.686968 21011.940 75.413 1.678140 1.695796
1.704626 20873.030 71.972 1.695796 1.713457
1.722291 21056.923 77.136 1.713457 1.731125
1.739961 21129.667 75.916 1.731125 1.748797
1.757636 21358.456 76.956 1.748797 1.766474
1.775806 21237.731 80.238 1.766474 1.785138
1.794471 21322.398 80.228 1.785138 1.803805
1.813141 21289.663 85.513 1.803805 1.822476
1.831813 21394.757 94.056 1.822476 1.841150
1.850488 21727.665 89.504 1.841150 1.859826
1.869656 21574.747 87.941 1.859826 1.879487
1.889318 21614.322 91.014 1.879487 1.899150
1.908982 21387.731 96.083 1.899150 1.918814
1.928647 21363.445 92.558 1.918814 1.938480
1.948313 21356.014 96.417 1.938480 1.958146
1.968471 21600.481 97.900 1.958146 1.978796
1.990105 21133.281 97.630 1.978796 2.001414
2.030424 21501.182 102.164 2.020098 2.040750
2.051075 21292.206 103.199 2.040750 2.061401
2.072219 21220.881 110.383 2.061401 2.083036
2.093854 21080.318 107.681 2.083036 2.104672
2.115490 20972.166 111.331 2.104672 2.126309
2.137127 21057.810 116.158 2.126309 2.147946
