# WASP-39b JWST PRISM transmission spectrum (Eureka!, Fit_LimbDarkening, ~R100)
# Carter et al. 2024, Nature Astronomy; Zenodo 10.5281/zenodo.10161743
# depth=(rp/rs)^2; err=2*(rp/rs)*sigma_rprs (asym errors averaged)
# columns: wavelength_um  transit_depth_ppm  err_ppm  wavelength_low_um  wavelength_high_um
0.521325 20842.245 304.408 0.517076 0.525574
0.530036 21439.283 212.630 0.525574 0.534499
0.539191 21548.332 166.462 0.534499 0.543884
0.548828 21539.650 127.093 0.543884 0.553772
0.558989 21398.480 101.854 0.553772 0.564207
0.569719 21760.165 83.868 0.564207 0.575232
0.581062 21583.013 81.225 0.575232 0.586892
0.593082 21888.126 64.074 0.586892 0.599272
0.605838 21503.283 62.026 0.599272 0.612405
0.619401 21409.135 60.281 0.612405 0.626398
0.633856 21407.028 53.800 0.626398 0.641313
0.649277 21193.913 50.582 0.641313 0.657241
0.665775 21307.884 50.561 0.657241 0.674310
0.683457 21288.230 47.080 0.674310 0.692604
0.702440 21355.397 43.984 0.692604 0.712276
0.722867 21229.966 42.293 0.712276 0.733458
0.744886 21013.955 69.718 0.733458 0.756313
0.768661 21262.302 66.783 0.756313 0.781009
0.794371 21152.421 64.538 0.781009 0.807732
0.822200 21088.659 65.623 0.807732 0.836668
0.852341 20994.637 67.056 0.836668 0.868014
0.884985 20950.128 65.972 0.868014 0.901956
0.920307 21204.005 60.773 0.901956 0.938659
0.958459 21246.344 56.365 0.938659 0.978259
0.999545 21091.897 54.012 0.978259 1.020832
1.043604 20904.701 52.590 1.020832 1.066376
1.090595 21288.766 55.122 1.066376 1.114814
1.140387 21351.175 49.032 1.114814 1.165960
1.192754 21221.168 48.042 1.165960 1.219547
1.247387 21245.478 48.292 1.219547 1.275227
1.303915 21459.972 51.960 1.275227 1.332603
1.361929 21764.656 51.592 1.332603 1.391255
1.421014 21551.564 47.824 1.391255 1.450774
1.480776 21536.560 50.584 1.450774 1.510778
1.540857 21166.187 54.035 1.510778 1.570935
1.600949 21103.747 53.307 1.570935 1.630963
1.660798 20954.196 56.976 1.630963 1.690634
1.720202 21156.719 53.875 1.690634 1.749770
1.779003 21339.742 58.068 1.749770 1.808237
1.837087 21528.618 37.233 1.808237 1.865938
1.894372 21815.243 37.612 1.865938 1.922806
1.950803 21539.386 33.237 1.922806 1.978800
2.006346 21200.513 36.442 1.978800 2.033893
2.060985 21273.238 38.196 2.033893 2.088077
2.114715 21172.107 36.340 2.088077 2.141353
2.167541 21099.655 38.972 2.141353 2.193730
2.219476 21007.767 39.572 2.193730 2.245222
2.270535 21079.455 42.515 2.245222 2.295848
2.320740 21216.038 44.282 2.295848 2.345631
2.370112 21450.356 44.814 2.345631 2.394593
2.418677 21376.218 44.559 2.394593 2.442760
2.466457 21633.165 45.471 2.442760 2.490155
2.513479 21709.909 46.288 2.490155 2.536804
2.559768 21838.083 49.678 2.536804 2.582731
2.605346 21914.655 48.346 2.582731 2.627961
2.650239 22081.051 48.777 2.627961 2.672517
2.694469 22163.081 55.770 2.672517 2.716421
2.738059 22076.280 52.238 2.716421 2.759697
2.781032 22086.212 59.903 2.759697 2.802366
2.823406 22295.257 59.505 2.802366 2.844447
2.865203 22068.097 59.712 2.844447 2.885960
2.906443 22040.855 62.071 2.885960 2.926925
2.947142 21851.552 66.426 2.926925 2.967359
2.987319 21862.897 67.416 2.967359 3.007278
3.026990 21856.942 67.974 3.007278 3.046701
3.066171 21725.268 65.494 3.046701 3.085642
3.104879 21642.774 65.252 3.085642 3.124116
3.143126 21666.251 67.397 3.124116 3.162137
3.180929 21515.908 68.987 3.162137 3.199720
3.218299 21618.165 73.880 3.199720 3.236878
3.255250 21363.778 75.221 3.236878 3.273622
3.291793 21319.907 73.757 3.273622 3.309965
3.327941 21406.214 71.100 3.309965 3.345918
3.363705 21450.753 80.815 3.345918 3.381492
3.399095 21405.552 78.429 3.381492 3.416698
3.434122 21411.426 78.564 3.416698 3.451546
3.468795 21343.989 80.883 3.451546 3.486045
3.503125 21262.265 84.590 3.486045 3.520205
3.537119 21352.188 85.631 3.520205 3.554034
3.570787 21448.550 84.473 3.554034 3.587540
3.604136 21354.035 84.591 3.587540 3.620733
3.637176 21392.904 86.831 3.620733 3.653619
